,Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,Population
71,Islande,104.0,29.95,5.7,12.33,10.0,0.0,2.0,10.0,305.183
72,Israël,234.0,67.39,12.83,27.87,636.0,3.0,0.0,629.0,6847.141
73,Italie,65.0,18.88,3.48,7.83,1173.0,183.0,97.0,1315.0,58747.861
74,Jamaïque,178.0,51.1,12.18,15.71,152.0,1.0,31.0,128.0,2768.227
75,Japon,67.0,18.5,3.95,7.24,2415.0,10.0,1069.0,2215.0,128494.057
76,Jordanie,98.0,28.07,6.04,10.1,275.0,10.0,64.0,210.0,6255.28
77,Kazakhstan,61.0,18.27,3.86,6.18,331.0,6.0,174.0,171.0,15702.104
78,Kenya,2.0,0.67,0.14,0.23,35.0,0.0,0.0,35.0,38705.932
79,Kirghizistan,11.0,3.1,0.73,1.08,32.0,0.0,25.0,7.0,5184.392
80,Kiribati,63.0,17.98,3.81,6.65,2.0,132.1851851851852,1.0,1.0,96.527
81,Koweït,156.0,46.25,9.79,15.87,189.0,4.0,137.0,56.0,2504.019
82,Lesotho,27.0,7.93,1.71,2.72,17.0,0.0,15.0,2.0,1986.922
83,Lettonie,72.0,20.89,4.53,7.22,41.0,20.0,43.0,33.0,2198.089
84,Liban,38.0,10.74,2.33,3.9,73.0,4.0,13.0,64.0,4767.344
85,Libéria,36.0,10.67,2.25,3.74,50.0,0.0,48.0,15.0,3461.911
86,Lituanie,96.0,28.19,6.03,9.74,82.0,68.0,44.0,118.0,3258.98
87,Luxembourg,69.0,18.33,4.28,7.19,11.0,1.0,11.0,0.0,474.915
88,Macédoine du Nord,68.0,19.73,4.17,7.01,41.0,1.0,40.0,2.0,2065.426
89,Madagascar,14.0,2.87,1.13,0.97,82.0,132.1851851851852,0.0,81.0,19433.53
90,Malaisie,142.0,39.21,9.65,12.95,1621.0,44.0,68.0,1724.0,26720.37
91,Malawi,17.0,5.17,1.09,1.74,98.0,132.1851851851852,0.0,130.0,13341.806
92,Maldives,47.0,13.5,2.94,4.7,12.0,132.1851851851852,12.0,729.1317365269462,335.169
93,Mali,9.0,2.83,0.6,0.96,52.0,132.1851851851852,1.0,48.0,13651.464
94,Malte,103.0,27.17,5.41,12.68,14.0,0.0,9.0,4.0,407.852
95,Maroc,70.0,20.96,4.35,7.29,746.0,1.0,3.0,762.0,31163.673
96,Maurice,128.0,37.93,8.05,13.06,49.0,0.0,2.0,48.0,1233.889
97,Mauritanie,11.0,5.14,0.51,1.59,22.0,132.1851851851852,24.0,5.0,3202.517
98,Mexique,123.0,32.52,9.27,9.26,4219.0,9.0,972.0,3249.0,109170.502
99,Mongolie,9.0,2.77,0.59,0.95,9.0,132.1851851851852,10.0,0.0,2593.82
100,Monténégro,55.0,15.98,3.37,5.79,10.0,0.0,8.0,4.0,619.555
101,Mozambique,13.0,3.59,0.82,1.2,116.0,132.1851851851852,24.0,92.0,21673.316
102,Myanmar,116.0,30.37,8.11,9.93,1666.0,0.0,3.0,1662.0,49621.475
103,Namibie,40.0,11.53,2.38,4.25,28.0,12.0,29.0,11.0,2006.514
104,Nicaragua,93.0,21.59,7.08,6.91,138.0,0.0,6.0,143.0,5590.055
105,Niger,3.0,0.94,0.2,0.32,21.0,0.0,3.0,19.0,14685.399
106,Nigéria,2.0,1.01,0.1,0.31,202.0,0.0,0.0,201.0,146339.977
107,Norvège,66.0,19.05,3.61,7.81,102.0,0.0,2.0,101.0,4719.402
108,Nouvelle-Calédonie,136.0,38.71,8.42,14.05,11.0,132.1851851851852,9.0,1.0,243.331
109,Nouvelle-Zélande,140.0,34.79,9.77,12.02,168.0,23.0,1.0,223.0,4233.046
110,Népal,7.0,1.99,0.42,0.67,58.0,132.1851851851852,0.0,58.0,26382.581
111,Oman,73.0,21.63,4.58,7.38,114.0,16.0,126.0,7.0,2657.158
112,Ouganda,5.0,1.52,0.32,0.51,66.0,0.0,0.0,65.0,29486.338
114,Pakistan,20.0,5.86,1.25,1.97,1282.0,4.0,2.0,1281.0,167808.105
115,Panama,117.0,33.82,8.02,10.34,192.0,0.0,20.0,198.0,3453.675
116,Paraguay,22.0,5.99,1.61,1.8,41.0,4.0,1.0,45.0,5998.427
117,Pays-Bas,70.0,20.33,3.74,8.48,372.0,1418.0,608.0,1100.0,16506.655
118,Philippines,48.0,13.87,3.11,4.65,1521.0,2.0,249.0,1272.0,89405.482
119,Pologne,107.0,30.3,6.18,12.14,1156.0,1025.0,55.0,2351.0,38353.338
120,Polynésie française,167.0,47.4,10.86,16.2,15.0,0.0,15.0,1.0,262.721
121,Portugal,109.0,30.58,6.02,12.74,325.0,44.0,82.0,361.0,10573.143
122,Pérou,62.0,13.47,3.72,6.71,1523.0,1.0,60.0,1465.0,28333.052
123,Roumanie,66.0,19.37,3.65,7.91,381.0,69.0,146.0,392.0,21034.189
124,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,120.0,31.94,6.74,13.77,2234.0,359.0,779.0,1814.0,61455.162
125,Rwanda,5.0,1.49,0.31,0.5,19.0,0.0,0.0,19.0,9273.757
126,République centrafricaine,8.0,2.29,0.48,0.78,11.0,132.1851851851852,4.0,7.0,4198.01
127,République de Corée,62.0,16.7,4.21,5.68,854.0,6.0,137.0,838.0,49034.81
128,République de Moldova,55.0,16.14,3.46,5.53,66.0,0.0,16.0,54.0,4130.136
129,République dominicaine,123.0,35.26,8.46,10.88,375.0,6.0,42.0,339.0,9338.861
131,République populaire démocratique de Corée,8.0,1.62,0.63,0.49,43.0,0.0,0.0,43.0,24188.331
132,République-Unie de Tanzanie,6.0,1.88,0.41,0.63,108.0,132.1851851851852,2.0,105.0,40681.414
133,Saint-Kitts-et-Nevis,190.0,55.77,11.91,19.22,4.0,0.0,4.0,0.0,47.778
134,Saint-Vincent-et-les Grenadines,243.0,72.31,15.06,25.1,8.0,132.1851851851852,9.0,0.0,108.518
135,Sainte-Lucie,241.0,56.69,17.86,19.0,11.0,132.1851851851852,10.0,1.0,167.639
136,Samoa,217.0,64.77,13.68,21.88,15.0,0.0,17.0,0.0,182.046
137,Sao Tomé-et-Principe,33.0,9.47,2.1,3.21,2.0,132.1851851851852,2.0,1.0,166.3
138,Serbie,35.0,10.16,2.24,3.5,90.0,7.0,12.0,85.0,9101.185
139,Sierra Leone,10.0,3.97,0.52,1.24,30.0,0.0,14.0,17.0,5989.633
140,Slovaquie,48.0,13.9,3.04,4.74,74.0,35.0,63.0,71.0,5398.692
141,Slovénie,83.0,24.41,5.05,8.72,52.0,29.0,20.0,72.0,2012.118
142,Sri Lanka,26.0,7.78,1.64,2.64,192.0,2.0,0.0,192.0,19842.044
143,Suisse,55.0,15.72,3.07,6.49,133.0,4.0,51.0,91.0,7536.982
144,Suriname,112.0,31.06,7.97,9.27,25.0,5.0,18.0,10.0,511.181
145,Suède,61.0,16.6,3.39,7.09,187.0,23.0,84.0,157.0,9162.939
146,Sénégal,16.0,4.76,1.0,1.61,77.0,0.0,0.0,77.0,11687.08
147,Tadjikistan,18.0,4.45,1.31,1.45,40.0,132.1851851851852,38.0,2.0,7062.672
148,Tchad,2.0,0.45,0.1,0.15,7.0,0.0,1.0,6.0,10818.024
149,Tchéquie,82.0,21.96,5.49,7.5,249.0,27.0,116.0,163.0,10357.538
150,Thaïlande,47.0,12.95,3.19,4.35,881.0,796.0,2.0,1676.0,66182.067
151,Timor-Leste,14.0,4.24,0.9,1.46,5.0,132.1851851851852,11.0,1.0,1036.392
152,Togo,24.0,7.06,1.49,2.39,54.0,0.0,16.0,40.0,5920.359
153,Trinité-et-Tobago,189.0,54.54,13.05,16.63,76.0,0.0,23.0,61.0,1308.451
154,Tunisie,57.0,17.03,3.39,6.28,195.0,4.0,0.0,213.0,10304.726
155,Turkménistan,15.0,4.52,0.95,1.53,27.0,132.1851851851852,9.0,20.0,4870.141
156,Turquie,71.0,20.64,4.5,6.99,1674.0,429.0,3.0,2192.0,69581.848
157,Ukraine,78.0,22.62,5.11,7.58,1009.0,273.0,121.0,1211.0,46366.353
158,Uruguay,33.0,9.12,2.23,2.97,33.0,3.0,3.0,33.0,3331.749
159,Vanuatu,40.0,11.66,2.48,4.05,3.0,132.1851851851852,4.0,1.0,219.472
160,Venezuela (République bolivarienne du),71.0,20.28,4.39,7.23,626.0,0.0,25.0,600.0,27247.61
161,Viet Nam,48.0,12.33,3.4,4.01,1206.0,1.0,291.0,918.0,85419.591
162,Yémen,30.0,8.53,1.85,3.04,246.0,0.0,78.0,168.0,21282.515
163,Zambie,11.0,3.42,0.72,1.15,60.0,1.0,12.0,49.0,12502.958
164,Zimbabwe,16.0,4.68,0.99,1.59,76.0,132.1851851851852,6.0,69.0,12255.922
165,Égypte,50.0,12.96,3.42,4.51,1250.0,1.0,110.0,1118.0,78232.126
166,Émirats arabes unis,147.0,43.47,9.25,14.8,412.0,94.0,433.0,48.0,6168.838
167,Équateur,83.0,19.31,6.35,6.15,341.0,0.0,0.0,340.0,14296.557
168,États-Unis d'Amérique,219.0,55.68,14.83,19.93,18266.0,3692.0,123.0,21914.0,300608.429
169,Éthiopie,0.0,0.13,0.03,0.04,14.0,132.1851851851852,1.0,14.0,80674.348
170,Îles Salomon,18.0,4.45,1.31,1.51,3.0,0.0,6.0,0.0,492.132
